date,sales
2023-06-15,1423
2023-06-16,1407
2023-06-17,1900
2023-06-18,1722
2023-06-19,1461
2023-06-20,1361
2023-06-21,1491
2023-06-22,1492
2023-06-23,1405
2023-06-24,1750
2023-06-25,1738
2023-06-26,1382
2023-06-27,1348
2023-06-28,1386
2023-06-29,1202
2023-06-30,1383
2023-07-01,1585
2023-07-02,1827
2023-07-03,1432
2023-07-04,1304
2023-07-05,1263
2023-07-06,1443
2023-07-07,1233
2023-07-08,1726
2023-07-09,1685
2023-07-10,1321
2023-07-11,1439
2023-07-12,1378
2023-07-13,1500
2023-07-14,1326
2023-07-15,1724
2023-07-16,1634
2023-07-17,1326
2023-07-18,1456
2023-07-19,1410
2023-07-20,1355
2023-07-21,1231
2023-07-22,1512
2023-07-23,1706
2023-07-24,1520
2023-07-25,1393
2023-07-26,1275
2023-07-27,1497
2023-07-28,1451
2023-07-29,1602
2023-07-30,1698
2023-07-31,1521
2023-08-01,1324
2023-08-02,1325
2023-08-03,1355
2023-08-04,1431
2023-08-05,1747
2023-08-06,1790
2023-08-07,1432
2023-08-08,1367
2023-08-09,1379
2023-08-10,1391
2023-08-11,1419
2023-08-12,1595
2023-08-13,1773
2023-08-14,1384
2023-08-15,1491
2023-08-16,1500
2023-08-17,1390
2023-08-18,1306
2023-08-19,1788
2023-08-20,1550
2023-08-21,1383
2023-08-22,1612
2023-08-23,1257
2023-08-24,1427
2023-08-25,1298
2023-08-26,1654
2023-08-27,1548
2023-08-28,1337
2023-08-29,1336
2023-08-30,1415
2023-08-31,1467
2023-09-01,1349
2023-09-02,1721
2023-09-03,1875
2023-09-04,1305
2023-09-05,1394
2023-09-06,1301
2023-09-07,1628
2023-09-08,1397
2023-09-09,1683
2023-09-10,1617
2023-09-11,1339
2023-09-12,1278
2023-09-13,1689
2023-09-14,1376
2023-09-15,1474
2023-09-16,1928
2023-09-17,1644
2023-09-18,1404
2023-09-19,1492
2023-09-20,1389
2023-09-21,1493
2023-09-22,1468
2023-09-23,1915
2023-09-24,1828
2023-09-25,1449
2023-09-26,1458
2023-09-27,1568
2023-09-28,1701
2023-09-29,1580
2023-09-30,1850
2023-10-01,1943
2023-10-02,1547
2023-10-03,1389
2023-10-04,1306
2023-10-05,1520
2023-10-06,1389
2023-10-07,2019
2023-10-08,1976
2023-10-09,1569
2023-10-10,1472
2023-10-11,1706
2023-10-12,1389
2023-10-13,1395
2023-10-14,1941
2023-10-15,1887
2023-10-16,1521
2023-10-17,1562
2023-10-18,1588
2023-10-19,1519
2023-10-20,1645
2023-10-21,1827
2023-10-22,1822
2023-10-23,1639
2023-10-24,1745
2023-10-25,1749
2023-10-26,1765
2023-10-27,1694
2023-10-28,2027
2023-10-29,1774
2023-10-30,1561
2023-10-31,1547
2023-11-01,1796
2023-11-02,1739
2023-11-03,1560
2023-11-04,1840
2023-11-05,2083
2023-11-06,1899
2023-11-07,1753
2023-11-08,1624
2023-11-09,1699
2023-11-10,1622
2023-11-11,1988
2023-11-12,2051
2023-11-13,1816
2023-11-14,1826
